Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2021-11-23 02:59:25",1,1,"l Jordo l",b7629aef-c0f8-45e2-9764-143b2f6a3cce,Streets,Oddball,"Ranked Arena",CrossPlay,Open,1109,1109,,,,,,,,,,,,,5,,,,,Left,54.24,3029,3236,271,147,124,1.00,1.33,10,,,,,,,,10,4,0,0,3,0,0,,,,0,3,392
"2021-11-23 03:13:53",1,1,"l Jordo l",fb5abdda-58ad-4059-a36b-4a5ee78e6c31,"Live Fire",Strongholds,"Bot Bootcamp",CrossPlay,Open,0,0,,,,,,,,,,,,,1,,,,,Win,53.62,2359,305,235,126,109,11.00,11.33,11,,,,,,,,0,1,0,0,11,0,0,,,,0,5,204
"2021-11-23 03:18:50",1,1,"l Jordo l",a755ac3c-db36-43b5-923d-cf368383f007,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1109,1109,,,,,,,,,,,,,5,,,,,Loss,56.01,5487,5583,466,261,205,1.05,3.67,20,,,,,,,,19,8,0,0,4,0,0,,,,0,4,667
"2021-11-23 03:32:11",1,1,"l Jordo l",8f07295d-b901-4d47-99c5-3bbd95941284,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1109,1109,,,,,,,,,,,,,5,,,,,Loss,53.45,6941,6244,782,418,364,1.10,5.67,22,,,,,,,,20,11,0,0,3,0,0,,,,0,8,988
"2021-11-23 03:51:14",1,1,"l Jordo l",0c32eb2f-3195-411b-be2a-ac22ba4dcee2,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,1109,1109,,,,,,,,,,,,,5,,,,,Loss,46.94,6244,5734,735,345,390,1.00,2.67,17,,,,,,,,17,8,0,0,4,0,0,,,,0,3,877
"2021-11-23 04:06:53",1,1,"l Jordo l",f2e80377-c789-4848-9da2-afb5c0866560,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,1109,1112,,,,,,,,,,,,,2,,,,,Win,48.17,5962,5165,602,290,312,1.35,9.00,23,,,,,,,,17,9,0,0,5,0,0,,,,0,5,824
"2021-11-23 04:22:09",1,1,"l Jordo l",14e15065-db19-4772-8424-31c7bb7d662e,Streets,Oddball,"Ranked Arena",CrossPlay,Open,1112,1127,,,,,,,,,,,,,1,,,,,Win,50.28,4057,3998,352,177,175,1.73,10.33,19,,,,,,,,11,7,0,0,3,0,0,,,,0,5,566
"2021-11-23 04:33:08",1,1,"l Jordo l",8c93a316-fe64-4d07-9e55-28c3cfdde083,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1127,1142,,,,,,,,,,,,,1,,,,,Win,47.25,5381,3743,601,284,317,3.29,19.00,23,,,,,,,,7,9,0,0,11,0,0,,,,0,10,754
"2021-11-23 04:50:12",1,1,"l Jordo l",06fd160f-b1bd-431e-8fcb-152f8e70c3d8,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,1142,1142,,,,,,,,,,,,,1,,,,,Win,44.35,4384,5278,478,212,266,0.78,-1.33,14,,,,,,,,18,8,0,0,3,0,0,,,,0,6,737
"2021-11-23 05:04:03",1,1,"l Jordo l",686dd592-b570-45e2-bee5-39e05b90413a,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,1142,1142,,,,,,,,,,,,,5,,,,,Left,0,0,223,0,0,0,0.00,-1.00,0,,,,,,,,1,0,0,0,0,0,0,,,,0,0,242
"2021-11-25 00:46:47",1,1,"l Jordo l",a3ac13c0-f87a-4373-a9c7-12638121e772,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,1142,1157,,,,,,,,,,,,,2,,,,,Win,45.86,3570,3767,399,183,216,1.36,5.67,15,,,,,,,,11,5,0,0,3,0,0,,,,0,3,615
"2021-11-25 00:58:28",1,1,"l Jordo l",1b3d73ba-9e89-44c1-b7e9-05856bb25c7b,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,1157,1157,,,,,,,,,,,,,8,,,,,Loss,54.72,3799,3450,424,232,192,1.18,4.00,13,,,,,,,,11,6,0,0,3,0,0,,,,0,5,529
"2021-11-25 01:09:07",1,1,"l Jordo l",608e46a4-3dd3-4a46-96cd-2d992715ba76,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1157,1172,,,,,,,,,,,,,2,,,,,Win,54.52,5762,4199,609,332,277,1.67,10.33,20,,,,,,,,12,7,0,0,3,0,0,,,,0,4,730
"2021-11-25 01:22:26",1,1,"l Jordo l",0e991b59-a3fb-460a-a5c7-2b0d7b3ea4d7,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,1172,1171,,,,,,,,,,,,,5,,,,,Loss,50.47,4119,4332,533,269,264,0.92,1.67,11,,,,,,,,12,8,0,0,5,0,0,,,,0,2,554
"2021-11-25 01:33:36",1,1,"l Jordo l",b058025c-99d5-48f3-ab00-59546691cfee,Bazaar,Slayer,"Ranked Arena",CrossPlay,Open,1171,1186,,,,,,,,,,,,,1,,,,,Win,48.17,3738,2394,355,171,184,3.20,12.00,16,,,,,,,,5,3,0,0,10,0,0,,,,0,8,478
"2021-11-25 01:42:53",1,1,"l Jordo l",14ec617d-d6a7-4888-b85c-ec54050f083e,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,1186,1201,,,,,,,,,,,,,3,,,,,Win,53.5,4573,2608,529,283,246,1.71,9.33,12,,,,,,,,7,13,0,0,3,0,0,,,,0,5,476
"2021-11-25 01:53:42",1,1,"l Jordo l",5010debc-9757-4557-9102-faa8e1f17322,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,1201,1200,,,,,,,,,,,,,6,,,,,Loss,58.71,6572,5926,683,401,282,1.11,5.33,21,,,,,,,,19,10,0,0,3,0,0,,,,0,10,796
"2021-11-25 02:08:16",1,1,"l Jordo l",6cb9887f-09cc-4bf3-8317-aad73b788adb,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,1200,1215,,,,,,,,,,,,,2,,,,,Win,54.28,6035,5498,584,317,267,1.10,4.67,22,,,,,,,,20,8,0,0,4,0,0,,,,0,3,761
